symbol,n
002833,819
002838,840
002839,813
002840,116
002841,803
002842,833
002843,599
002845,832
002846,821
002847,839
002849,850
002850,821
002851,859
002857,591
002860,810
002861,580
002864,858
002865,317
002866,805
002867,855
002870,816
002871,826
002873,819
002876,815
002878,336
002879,795
002881,857
002882,833
002885,822
002886,815
002887,825
002888,822
002891,818
002892,822
002893,834
002895,815
002896,849
002897,822
002899,831
002900,579
002901,846
002902,107
002903,584
002906,806
002907,825
002910,130
002911,799
002912,820
002913,835
002915,109
002918,834
002919,828
002921,344
002922,826
002923,580
002925,816
002926,861
002927,598
002929,857
002930,592
002935,833
002936,602
002937,817
002939,857
002940,835
002941,849
002943,827
002945,855
002946,828
002947,802
002948,835
002950,838
002951,593
002952,822
002953,816
002955,540
002956,812
002957,835
002958,843
002960,807
002961,814
002962,825
002963,574
002965,828
002966,838
002967,823
002970,802
002971,844
002972,802
002973,853
002975,807
002976,840
002978,853
002979,853
002980,585
002981,817
002984,845
002985,796
002986,609
002987,814
002988,576
002989,100
002990,815
002993,820
002995,100
002997,826
002998,814
003001,827
003002,824
003006,814
003007,824
003009,683
003010,830
003011,843
003012,822
003013,838
003015,815
003018,853
003019,822
003020,821
003021,826
003022,802
003023,831
003026,826
003030,825
003031,829
003033,796
003035,859
003036,821
003040,823
003043,828
300001,819
300002,834
300003,840
300005,821
300007,829
300008,844
300009,821
300012,802
300016,571
300017,828
300019,803
300026,852
300031,845
300034,826
300035,826
300036,831
300037,800
300039,820
300040,829
300041,842
300042,820
300043,840
300046,838
300047,832
300049,846
300054,834
300055,845
300057,817
300058,840
300062,332
300066,828
300070,331
300073,819
300075,338
300079,845
300129,637
300130,844
300133,821
300135,593
300136,816
300137,852
300138,815
300139,850
300140,825
300141,349
300143,821
300144,831
300145,832
300146,795
300151,811
300153,821
300154,826
300161,850
300170,811
300171,821
300172,806
300174,849
300179,831
300181,820
300183,579
300185,688
300188,108
300191,820
300192,848
300194,819
300196,811
300200,829
300201,840
300203,575
300206,803
300207,825
300209,476
300213,584
300215,365
300217,830
300219,835
300221,843
300222,794
300223,814
300224,806
300225,636
300226,831
300227,406
300228,813
300229,345
300231,818
300232,819
300233,811
300234,583
300235,819
300236,818
300239,819
300241,842
300243,829
300244,839
300246,700
300248,838
300253,582
300257,834
300258,829
300259,809
300260,853
300261,429
300263,821
300265,839
300267,101
300283,829
300284,825
300285,822
300286,812
300288,852
300294,814
300296,813
300298,589
300303,816
300304,815
300307,804
300319,828
300320,824
300321,813
300327,849
300335,814
300337,848
300339,821
300341,840
300342,812
300346,812
300347,850
300348,824
300349,814
300351,816
300354,824
300355,366
300357,849
300358,840
300360,823
300363,808
300365,339
300369,126
300373,806
300377,367
300378,825
300380,824
300382,367
300383,820
300386,812
300389,672
300390,580
300393,364
300395,580
300398,849
300399,823
300400,742
300401,818
300403,813
300404,834
300406,819
300407,848
300409,825
300412,821
300414,846
300415,826
300416,819
300420,838
300421,826
300423,103
300428,839
300432,823
300434,834
300435,815
300438,822
300440,812
300441,821
300443,810
300444,811
300445,816
300446,834
300447,801
300448,817
300485,819
300487,845
300488,842
300491,799
300492,847
300493,830
300494,349
300496,815
300499,825
300503,819
300504,339
300505,821
300507,841
300508,816
300509,850
300515,825
300516,809
300518,104
300519,821
300521,504
300561,835
300562,810
300563,821
300566,830
300568,813
300569,821
300570,850
300572,339
300573,816
300575,566
300576,828
300577,821
300579,593
300580,826
300581,341
300582,579
300584,839
300586,337
300587,603
300589,603
300590,817
300592,849
300593,336
300595,813
300596,835
300598,337
300599,819
300601,830
300602,819
300604,824
300605,361
300606,821
300607,823
300608,333
300609,347
300611,825
300613,823
300617,579
300618,825
300619,842
300620,808
300622,821
300623,840
300624,342
300626,828
300627,813
300629,821
300631,822
300632,840
300633,826
300634,839
300635,358
300638,827
300639,331
300640,829
300641,835
300642,816
300643,822
300645,822
300648,107
300649,834
300650,836
300651,833
300652,828
300654,818
300655,826
300656,339
300660,824
300662,829
300663,124
300664,819
300667,332
300668,338
300672,589
300674,809
300676,362
300677,830
300678,823
300679,822
300680,834
300681,828
300682,832
300683,489
300684,821
300687,577
300689,828
300690,835
300691,573
300693,813
300694,820
300695,831
300696,829
300697,829
300698,396
300699,834
300700,325
300702,823
300703,812
300705,819
300706,359
300708,796
300709,839
300715,331
300717,816
300718,821
300720,823
300721,590
300722,831
300723,337
300724,829
300725,829
300726,831
300727,821
300730,109
300731,822
300733,822
300735,822
300737,817
300738,844
300739,827
300740,845
300747,821
300748,808
300782,561
300783,825
300785,820
300786,96
300788,724
300789,599
300790,823
300792,805
300793,579
300795,803
300798,609
300801,814
300802,853
300804,575
300805,847
300806,861
300809,846
300810,832
300811,819
300812,825
300814,853
300815,827
300816,832
300818,813
300819,830
300820,824
300821,814
300823,822
300826,829
300827,818
300830,585
300834,838
300835,809
300836,840
300839,89
300840,833
300841,821
300842,546
300843,821
300845,818
300847,818
300850,801
300852,803
300853,333
300854,821
300855,838
300857,797
300858,850
300859,796
300860,818
300861,847
300862,589
300863,821
300867,818
300868,601
300870,820
300871,846
300872,576
300873,843
300878,578
300879,580
300880,821
300881,582
300884,820
300885,821
300887,368
300888,817
300890,829
300891,576
300894,336
300895,97
300898,821
300900,354
300901,322
300902,333
300903,104
300905,829
300907,848
300909,594
300910,821
300911,581
300913,832
300916,837
300917,823
300918,828
300919,829
300920,829
300921,820
300922,833
301000,829
301002,349
301003,821
301005,823
301007,827
301008,828
301012,828
301013,589
301015,822
301017,824
301018,823
301019,848
301021,829
301026,821
301028,825
301029,821
301031,825
301033,822
301035,822
301038,844
301039,846
301040,115
301041,840
301042,829
301045,817
301046,826
301047,811
301050,829
301051,821
301052,801
301053,822
301055,844
301060,826
301061,817
301062,835
301067,592
301069,813
301070,832
301071,819
301072,366
301076,812
301078,819
301079,824
301080,830
301081,827
301082,798
301085,597
301086,821
301087,789
301089,333
301091,840
301092,836
301093,853
301095,778
301098,607
301099,852
301101,819
301108,814
301109,807
301110,820
301111,830
301115,760
301117,818
301118,576
301120,818
301122,828
301123,716
301125,813
301126,714
301127,850
301128,813
301132,797
301133,603
301136,339
301137,833
301141,613
301149,848
301150,830
301151,821
301152,26
301153,802
301155,829
301157,630
301158,820
301159,357
301160,821
301161,753
301162,813
301168,825
301172,307
301175,779
301176,37
301178,833
301179,828
301182,107
301183,823
301186,835
301188,828
301189,829
301190,852
301191,827
301193,333
301196,838
301197,804
301198,336
301200,813
301201,853
301202,552
301205,764
301207,832
301209,764
301210,558
301211,831
301215,821
301216,849
301217,680
301219,825
301222,819
301225,592
301226,833
301230,749
301231,267
301232,556
301235,821
301237,572
301238,807
301239,348
301246,642
301248,666
301251,507
301252,586
301256,824
301257,847
301259,826
301261,584
301262,587
301263,822
301265,695
301266,809
301267,736
301268,345
301270,754
301273,729
301275,146
301276,747
301277,685
301280,659
301281,624
301282,741
301285,522
301286,827
301290,703
301291,582
301293,379
301295,556
301297,586
301301,656
301302,80
301303,640
301305,604
301306,85
301307,135
301310,565
301312,794
301313,250
