feature,coverage,ic,t,ic_h1,t_h1,ic_h2,t_h2,resid_ic,resid_t
flat_days,1.0,0.0241,5.9,0.0366,6.55,0.0113,1.93,-0.0223,-5.76
close_vs_low_ma5,0.999,-0.0734,-10.0,-0.0834,-8.55,-0.0632,-5.76,-0.0027,-0.34
