symbol,board,industry,pred_ret_1d,pred_ret_3d,pred_ret_5d,prob_up,pred_q10,pred_q25,pred_q50,pred_q75,pred_q90,uncertainty_width,pain_prob,rank_score,ATR_pct,adv20,is_limit_up_close,is_one_word_limit,day_change,turnover_rate,amount,close,score
300224,dual,CSI,0.0042273454700945,0.031963576055003,0.0246499122064318,0.4077359507853239,-0.0266163109197491,0.0002870860414773,0.0002870860414773,0.0205826461898126,0.0352886810132142,0.0619049919329633,0.0963440312974213,-0.0041382187706069,0.0773291925465838,532711875.7725,0,0,-0.0635179153094461,2.5347,276820147.22,11.5,0.34413325971899456
300185,dual,CSI,0.0003698227059703,0.0081604359370885,0.0087263608488509,0.416756599278679,-0.0234481166354112,-0.0027440155447663,0.0006159190680744,0.0144308799863257,0.0366459003948491,0.0600940170302604,0.0881028533276854,-0.3059646084954119,0.0724600309437854,500467905.3245,0,0,0.0259259259259259,2.4006,253046182.69,2.77,0.1738217464382994
301215,dual,CSI,-0.0002013598175575,0.0067381376163367,0.0160615782427854,0.466547791313488,-0.0322060764958954,-0.0140994897797067,-0.0013853046705526,0.0116954013884043,0.0283934184511966,0.0605994949470921,0.2017156810561614,-0.3682375295347808,0.076051374454031,,0,0,0.0087976539589442,2.992,274683576.03,6.80931488,0.1721731833664051
552,main,CSI,-0.0012109238176059,0.0068255058020926,0.0058824751820303,0.4403478997484836,-0.0113742443387204,-0.0035431471003247,-0.0032999999821186,0.0005668876669408,0.0079058677282418,0.0192801120669623,0.0826237254951433,-1.3560186474263385,0.0420918367346938,361387431.845,0,0,-0.0311418685121108,2.9784,312166730.01,2.8,0.16829761000213264
157,main,CSI,-0.0012109238176059,0.0068255058020926,0.0058824751820303,0.4803998500879853,-0.0092341952784017,-0.0035431471003247,-0.0032999999821186,-0.0027004420935214,0.0035863409910696,0.0128205362694713,0.1826114086842701,-1.3286229810214678,0.0419580419580419,667294760.74,0,0,-0.0363881401617249,1.0367,530038465.49,6.9585659,0.16031565846615775
300119,dual,CSI,0.0007867736054081,0.0105347404778998,0.0121888501377514,0.4461365033297466,-0.0333812541593331,-0.0130555256560587,0.0010600631382735,0.0139727974020008,0.0393640363522931,0.0727452905116262,0.3118905822531413,-0.004885317649145,0.0684019370460048,328582048.8145,0,0,0.0770108385624643,4.1341,257999581.94,18.46516864,0.15904897769119727
601949,main,CSI,-0.0014962046708263,0.0056528123839024,0.0051858819081697,0.465380653704064,-0.0266586694597565,-0.0147364195896457,-0.0033255679636868,0.0093686213002217,0.0293794123918788,0.0560380818516354,0.1545521371625463,-0.0842739105536273,0.0600338838965274,,0,0,-0.0445609436435125,2.4972,347948789.0,7.14649635,0.1529924067984637
300134,dual,CSI,-0.0001425727313834,0.0112326619445847,0.0069559102842429,0.4620863198000992,-0.0320257101938056,-0.0182591131369061,-0.0022123888409405,0.0069368260406793,0.0344559831724612,0.0664816933662668,0.3890927016432071,-0.3723517997218871,0.0714285714285714,341613580.2895,0,0,0.031474820143885,3.9708,321442499.44,11.47,0.14211514784738233
600055,main,CSI,-0.0014962046708263,0.0056528123839024,0.0051858819081697,0.4141279980480331,-0.0261396628535632,-0.0136689030632038,-0.0038373104927302,0.0092722077404082,0.0250540481660414,0.0511937110196046,0.1378794386350054,-0.2921390406365703,0.0576196252509652,,0,0,0.0812390414962009,3.7463,473724649.88,18.5,0.1409511498071626
300529,dual,CSI,-0.000983075814065,0.0051550399166063,0.0134919748363079,0.4474058992917359,-0.0481662200539818,-0.0214219599435676,-3.5420440657462684e-05,0.0180001070867421,0.0406391543337993,0.0888053743877812,0.3761347041400706,0.2164124836886401,0.0689027561102444,368087033.0645,0,0,0.0589207048458149,3.1845,317541159.37,18.70140576,0.11690901813176025
