scenario,factor,h,regime,ic_lo,ic_hi,dIC,dt,n_hi,n_lo,dIC_h1,dIC_h2,stable,dt_adj_sqrtN,pass_bonf_z
quiet_comp,to_level,10,limit_up_count,-0.0223,-0.0575,-0.0352,-1.24,156,153,0.0041,-0.0666,False,-0.158,False
quiet_comp,to_level,10,limit_up_count_ma5,-0.0001,-0.0771,-0.077,-2.91,157,163,-0.0533,-0.0946,True,-0.371,False
quiet_comp,to_level,10,blow_rate,-0.0283,-0.0503,-0.0221,-0.81,158,161,-0.0442,-0.0308,True,-0.103,False
quiet_comp,to_level,10,max_board_height,-0.0414,-0.0289,0.0125,0.45,154,149,0.0068,-0.0063,False,0.057,False
quiet_comp,to_level,10,lu_premium_1d,-0.0406,-0.0244,0.0162,0.59,162,158,0.0153,0.0037,True,0.075,False
quiet_comp,to_trend,1,limit_up_count,-0.0057,-0.0123,-0.0066,-0.37,161,155,-0.0357,0.0237,False,-0.047,False
quiet_comp,to_trend,1,limit_up_count_ma5,0.0043,-0.0075,-0.0119,-0.68,161,163,-0.0351,0.0094,False,-0.087,False
quiet_comp,to_trend,1,blow_rate,-0.0174,0.0019,0.0193,1.15,162,165,0.0457,-0.004,False,0.147,False
quiet_comp,to_trend,1,max_board_height,-0.0064,-0.0075,-0.0012,-0.07,156,149,-0.036,0.0263,False,-0.009,False
quiet_comp,to_trend,1,lu_premium_1d,-0.0066,-0.0039,0.0026,0.15,164,163,0.0064,-0.0012,False,0.019,False
quiet_comp,to_trend,3,limit_up_count,-0.0094,0.0011,0.0105,0.62,160,154,-0.0214,0.0418,False,0.079,False
quiet_comp,to_trend,3,limit_up_count_ma5,-0.0052,0.0102,0.0154,0.9,161,163,-0.0183,0.0485,False,0.115,False
quiet_comp,to_trend,3,blow_rate,-0.0153,0.0052,0.0205,1.23,161,164,0.0341,0.0143,True,0.157,False
quiet_comp,to_trend,3,max_board_height,0.0013,-0.0073,-0.0086,-0.51,156,149,-0.0497,0.0317,False,-0.065,False
quiet_comp,to_trend,3,lu_premium_1d,-0.0021,0.0031,0.0051,0.31,163,162,0.0008,0.0097,True,0.04,False
quiet_comp,to_trend,5,limit_up_count,0.0053,0.0048,-0.0006,-0.04,160,153,-0.0418,0.0422,False,-0.005,False
quiet_comp,to_trend,5,limit_up_count_ma5,-0.012,0.018,0.03,1.92,159,163,-0.0295,0.0921,False,0.245,False
quiet_comp,to_trend,5,blow_rate,-0.0144,0.0162,0.0306,1.95,159,164,0.0438,0.0244,True,0.249,False
quiet_comp,to_trend,5,max_board_height,0.0041,-0.0038,-0.0079,-0.51,156,149,-0.0721,0.0585,False,-0.065,False
quiet_comp,to_trend,5,lu_premium_1d,0.0194,-0.0065,-0.0259,-1.69,163,160,-0.0193,-0.0317,True,-0.216,False
quiet_comp,to_trend,10,limit_up_count,0.0253,0.0328,0.0075,0.44,156,153,-0.0204,0.0399,False,0.056,False
quiet_comp,to_trend,10,limit_up_count_ma5,0.0044,0.0527,0.0482,3.05,157,163,0.0355,0.0623,True,0.389,False
quiet_comp,to_trend,10,blow_rate,0.0212,0.0348,0.0136,0.82,158,161,0.0157,0.0125,True,0.105,False
quiet_comp,to_trend,10,max_board_height,0.0152,0.019,0.0037,0.22,154,149,-0.027,0.0321,False,0.028,False
quiet_comp,to_trend,10,lu_premium_1d,0.0373,0.0121,-0.0252,-1.51,162,158,-0.0081,-0.0423,True,-0.193,False
quiet_comp,amihud20,1,limit_up_count,0.0296,0.0265,-0.0031,-0.13,161,155,0.0039,-0.0067,False,-0.017,False
quiet_comp,amihud20,1,limit_up_count_ma5,0.0421,0.0239,-0.0182,-0.79,161,163,-0.0171,-0.0134,True,-0.101,False
quiet_comp,amihud20,1,blow_rate,0.0188,0.0575,0.0387,1.69,162,165,0.0498,0.0225,True,0.216,False
quiet_comp,amihud20,1,max_board_height,0.0095,0.0418,0.0323,1.41,156,149,0.0349,0.0159,True,0.18,False
quiet_comp,amihud20,1,lu_premium_1d,0.043,0.0317,-0.0112,-0.51,164,163,-0.0049,-0.0196,True,-0.065,False
quiet_comp,amihud20,3,limit_up_count,0.0625,0.0601,-0.0025,-0.11,160,154,-0.0004,0.0013,False,-0.014,False
quiet_comp,amihud20,3,limit_up_count_ma5,0.0679,0.0445,-0.0234,-1.08,161,163,-0.031,-0.0084,True,-0.138,False
quiet_comp,amihud20,3,blow_rate,0.0461,0.0716,0.0255,1.18,161,164,0.0319,0.0068,True,0.151,False
quiet_comp,amihud20,3,max_board_height,0.0314,0.0773,0.0459,2.05,156,149,0.0711,0.0194,True,0.262,False
quiet_comp,amihud20,3,lu_premium_1d,0.0533,0.057,0.0038,0.18,163,162,-0.0086,0.0119,False,0.023,False
quiet_comp,amihud20,5,limit_up_count,0.0947,0.0611,-0.0336,-1.6,160,153,-0.0324,-0.0272,True,-0.204,False
quiet_comp,amihud20,5,limit_up_count_ma5,0.0689,0.0562,-0.0127,-0.6,159,163,-0.0203,0.0027,False,-0.077,False
quiet_comp,amihud20,5,blow_rate,0.0421,0.0969,0.0548,2.74,159,164,0.0505,0.0445,True,0.35,False
quiet_comp,amihud20,5,max_board_height,0.05,0.0796,0.0297,1.45,156,149,0.0333,0.0077,True,0.185,False
quiet_comp,amihud20,5,lu_premium_1d,0.064,0.0755,0.0115,0.57,163,160,-0.0345,0.049,False,0.073,False
quiet_comp,amihud20,10,limit_up_count,0.0755,0.0645,-0.011,-0.55,156,153,0.0036,-0.0144,False,-0.07,False
quiet_comp,amihud20,10,limit_up_count_ma5,0.0566,0.0653,0.0087,0.43,157,163,0.0446,-0.0204,False,0.055,False
quiet_comp,amihud20,10,blow_rate,0.0465,0.0948,0.0483,2.42,158,161,0.0365,0.0289,True,0.309,False
quiet_comp,amihud20,10,max_board_height,0.0361,0.0873,0.0512,2.46,154,149,0.0391,0.0399,True,0.314,False
quiet_comp,amihud20,10,lu_premium_1d,0.0642,0.0806,0.0164,0.84,162,158,0.0067,0.0161,True,0.107,False
quiet_comp,vp_div,1,limit_up_count,-0.0279,0.0124,0.0403,2.42,161,155,0.032,0.0514,True,0.309,False
quiet_comp,vp_div,1,limit_up_count_ma5,-0.0054,0.0095,0.0149,0.89,161,163,0.0102,0.0189,True,0.114,False
quiet_comp,vp_div,1,blow_rate,-0.0115,-0.0081,0.0033,0.21,162,165,-0.0045,0.0121,False,0.027,False
quiet_comp,vp_div,1,max_board_height,-0.0128,0.0062,0.019,1.11,156,149,0.0309,0.0081,True,0.142,False
quiet_comp,vp_div,1,lu_premium_1d,-0.0027,-0.0102,-0.0076,-0.46,164,163,0.0237,-0.0362,False,-0.059,False
quiet_comp,vp_div,3,limit_up_count,-0.011,0.0051,0.0161,0.94,160,154,-0.0023,0.0371,False,0.12,False
quiet_comp,vp_div,3,limit_up_count_ma5,0.0029,0.0007,-0.0022,-0.13,161,163,-0.0264,0.0228,False,-0.017,False
quiet_comp,vp_div,3,blow_rate,0.0033,-0.0039,-0.0072,-0.45,161,164,-0.0097,0.0021,False,-0.057,False
quiet_comp,vp_div,3,max_board_height,-0.0097,-0.0,0.0097,0.57,156,149,-0.0019,0.022,False,0.073,False
quiet_comp,vp_div,3,lu_premium_1d,0.0031,0.0002,-0.0028,-0.18,163,162,0.0045,-0.0076,False,-0.023,False
quiet_comp,vp_div,5,limit_up_count,0.0039,-0.0007,-0.0045,-0.28,160,153,-0.0218,0.0202,False,-0.036,False
quiet_comp,vp_div,5,limit_up_count_ma5,-0.0094,-0.0058,0.0035,0.22,159,163,-0.0336,0.0455,False,0.028,False
quiet_comp,vp_div,5,blow_rate,-0.0111,-0.0005,0.0106,0.68,159,164,0.0119,0.0097,True,0.087,False
quiet_comp,vp_div,5,max_board_height,-0.007,-0.0064,0.0006,0.04,156,149,-0.0201,0.0123,False,0.005,False
quiet_comp,vp_div,5,lu_premium_1d,0.001,-0.0023,-0.0033,-0.22,163,160,-0.0075,0.0009,False,-0.028,False
quiet_comp,vp_div,10,limit_up_count,0.0056,-0.0008,-0.0064,-0.39,156,153,-0.004,-0.0022,True,-0.05,False
quiet_comp,vp_div,10,limit_up_count_ma5,-0.0101,0.0064,0.0165,1.03,157,163,0.0075,0.0297,True,0.131,False
quiet_comp,vp_div,10,blow_rate,-0.0084,0.0125,0.0209,1.32,158,161,0.0045,0.0273,True,0.168,False
quiet_comp,vp_div,10,max_board_height,-0.0044,0.0077,0.0121,0.73,154,149,-0.008,0.0171,False,0.093,False
quiet_comp,vp_div,10,lu_premium_1d,-0.0012,0.002,0.0033,0.21,162,158,-0.0024,0.0057,False,0.027,False
quiet_comp,gap,1,limit_up_count,0.0118,-0.0037,-0.0155,-0.9,161,155,-0.01,-0.0235,True,-0.115,False
quiet_comp,gap,1,limit_up_count_ma5,0.0129,0.0017,-0.0112,-0.64,161,163,-0.021,-0.0021,True,-0.082,False
quiet_comp,gap,1,blow_rate,0.0072,0.0243,0.0171,0.95,162,165,0.0138,0.0237,True,0.121,False
quiet_comp,gap,1,max_board_height,0.0189,-0.0013,-0.0202,-1.13,156,149,-0.0028,-0.0311,True,-0.144,False
quiet_comp,gap,1,lu_premium_1d,0.0005,0.0292,0.0287,1.63,164,163,0.01,0.0478,True,0.208,False
quiet_comp,gap,3,limit_up_count,-0.0007,0.0035,0.0042,0.27,160,154,-0.0128,0.021,False,0.034,False
quiet_comp,gap,3,limit_up_count_ma5,0.006,0.0168,0.0108,0.68,161,163,-0.0089,0.0304,False,0.087,False
quiet_comp,gap,3,blow_rate,0.0099,0.005,-0.0049,-0.29,161,164,-0.0044,-0.0026,True,-0.037,False
quiet_comp,gap,3,max_board_height,-0.0018,0.0116,0.0133,0.84,156,149,0.0281,0.0124,True,0.107,False
quiet_comp,gap,3,lu_premium_1d,-0.0057,0.0235,0.0292,1.95,163,162,0.0316,0.0263,True,0.249,False
quiet_comp,gap,5,limit_up_count,0.0218,0.0123,-0.0095,-0.59,160,153,-0.0424,0.0237,False,-0.075,False
quiet_comp,gap,5,limit_up_count_ma5,0.0348,0.0124,-0.0224,-1.36,159,163,-0.044,0.0004,False,-0.174,False
quiet_comp,gap,5,blow_rate,0.0206,0.0167,-0.0039,-0.23,159,164,-0.0042,0.0016,False,-0.029,False
quiet_comp,gap,5,max_board_height,0.0112,0.0222,0.011,0.68,156,149,0.0099,0.0232,True,0.087,False
quiet_comp,gap,5,lu_premium_1d,0.014,0.0287,0.0147,0.94,163,160,0.0214,0.0085,True,0.12,False
quiet_comp,gap,10,limit_up_count,0.0311,0.011,-0.0201,-1.23,156,153,-0.0459,0.0092,False,-0.157,False
quiet_comp,gap,10,limit_up_count_ma5,0.0239,0.0162,-0.0077,-0.48,157,163,-0.0188,0.0066,False,-0.061,False
quiet_comp,gap,10,blow_rate,0.0176,0.017,-0.0006,-0.04,158,161,-0.004,-0.0041,True,-0.005,False
quiet_comp,gap,10,max_board_height,0.0032,0.0235,0.0203,1.21,154,149,-0.0088,0.0475,False,0.154,False
quiet_comp,gap,10,lu_premium_1d,0.0159,0.0269,0.011,0.66,162,158,0.0166,0.0019,True,0.084,False
quiet_comp,c2l5,1,limit_up_count,-0.0381,-0.0747,-0.0366,-1.54,161,155,-0.0069,-0.0662,True,-0.197,False
quiet_comp,c2l5,1,limit_up_count_ma5,-0.0418,-0.0624,-0.0206,-0.85,161,163,-0.0182,-0.0219,True,-0.108,False
quiet_comp,c2l5,1,blow_rate,-0.0594,-0.0359,0.0235,1.0,162,165,0.0256,0.0322,True,0.128,False
quiet_comp,c2l5,1,max_board_height,-0.0467,-0.0376,0.0091,0.36,156,149,0.0115,0.01,True,0.046,False
quiet_comp,c2l5,1,lu_premium_1d,-0.0407,-0.0471,-0.0064,-0.26,164,163,-0.0435,0.0293,False,-0.033,False
quiet_comp,c2l5,3,limit_up_count,-0.0436,-0.0575,-0.0139,-0.56,160,154,0.0189,-0.0398,False,-0.071,False
quiet_comp,c2l5,3,limit_up_count_ma5,-0.0263,-0.0741,-0.0478,-2.01,161,163,-0.0325,-0.0619,True,-0.257,False
quiet_comp,c2l5,3,blow_rate,-0.059,-0.0365,0.0225,0.9,161,164,0.0082,0.0315,True,0.115,False
quiet_comp,c2l5,3,max_board_height,-0.0736,-0.0317,0.0419,1.67,156,149,0.0113,0.0659,True,0.213,False
quiet_comp,c2l5,3,lu_premium_1d,-0.0494,-0.0477,0.0017,0.07,163,162,-0.0178,0.0137,False,0.009,False
quiet_comp,c2l5,5,limit_up_count,-0.0325,-0.0606,-0.0281,-1.17,160,153,0.0124,-0.0599,False,-0.149,False
quiet_comp,c2l5,5,limit_up_count_ma5,-0.0433,-0.068,-0.0247,-1.04,159,163,-0.011,-0.0338,True,-0.133,False
quiet_comp,c2l5,5,blow_rate,-0.0466,-0.0426,0.004,0.17,159,164,-0.0082,0.0029,False,0.022,False
quiet_comp,c2l5,5,max_board_height,-0.0653,-0.0433,0.022,0.97,156,149,0.0012,0.0282,True,0.124,False
quiet_comp,c2l5,5,lu_premium_1d,-0.0427,-0.0412,0.0015,0.06,163,160,0.0198,-0.0198,False,0.008,False
quiet_comp,c2l5,10,limit_up_count,-0.0368,-0.0684,-0.0316,-1.34,156,153,0.0021,-0.0583,False,-0.171,False
quiet_comp,c2l5,10,limit_up_count_ma5,-0.0501,-0.0741,-0.024,-1.11,157,163,-0.0071,-0.0339,True,-0.142,False
quiet_comp,c2l5,10,blow_rate,-0.053,-0.0499,0.0031,0.14,158,161,-0.0128,-0.0014,True,0.018,False
quiet_comp,c2l5,10,max_board_height,-0.0656,-0.0472,0.0184,0.83,154,149,0.0036,0.009,True,0.106,False
quiet_comp,c2l5,10,lu_premium_1d,-0.0615,-0.0403,0.0212,0.97,162,158,0.0527,-0.0165,False,0.124,False
quiet_comp,winner_ratio,1,limit_up_count,-0.0492,-0.0313,0.0179,1.03,161,155,-0.0009,0.0401,False,0.131,False
quiet_comp,winner_ratio,1,limit_up_count_ma5,-0.0389,-0.0182,0.0207,1.19,161,163,0.015,0.0266,True,0.152,False
quiet_comp,winner_ratio,1,blow_rate,-0.0288,-0.0192,0.0096,0.56,162,165,0.029,-0.0054,False,0.071,False
quiet_comp,winner_ratio,1,max_board_height,-0.0294,-0.0311,-0.0017,-0.1,156,149,-0.0069,-0.0019,True,-0.013,False
quiet_comp,winner_ratio,1,lu_premium_1d,-0.0197,-0.028,-0.0083,-0.48,164,163,0.0159,-0.0301,False,-0.061,False
quiet_comp,winner_ratio,3,limit_up_count,-0.026,-0.0288,-0.0027,-0.16,160,154,-0.0087,0.0091,False,-0.02,False
quiet_comp,winner_ratio,3,limit_up_count_ma5,-0.0273,-0.0155,0.0118,0.72,161,163,0.0033,0.0236,True,0.092,False
quiet_comp,winner_ratio,3,blow_rate,-0.0216,-0.0066,0.015,0.92,161,164,0.0172,0.0097,True,0.117,False
quiet_comp,winner_ratio,3,max_board_height,-0.0368,-0.0161,0.0207,1.23,156,149,0.0027,0.0288,True,0.157,False
quiet_comp,winner_ratio,3,lu_premium_1d,-0.0139,-0.0212,-0.0073,-0.46,163,162,-0.012,-0.0057,True,-0.059,False
quiet_comp,winner_ratio,5,limit_up_count,-0.0196,-0.0352,-0.0156,-0.93,160,153,-0.0266,0.0046,False,-0.119,False
quiet_comp,winner_ratio,5,limit_up_count_ma5,-0.032,-0.0222,0.0098,0.58,159,163,0.0007,0.0238,True,0.074,False
quiet_comp,winner_ratio,5,blow_rate,-0.0284,-0.0007,0.0277,1.69,159,164,0.0248,0.023,True,0.216,False
quiet_comp,winner_ratio,5,max_board_height,-0.034,-0.0254,0.0086,0.52,156,149,-0.0197,0.0199,False,0.066,False
quiet_comp,winner_ratio,5,lu_premium_1d,-0.007,-0.0259,-0.0189,-1.22,163,160,-0.0401,-0.0009,True,-0.156,False
quiet_comp,winner_ratio,10,limit_up_count,-0.0112,-0.0208,-0.0096,-0.56,156,153,0.0045,-0.0146,False,-0.071,False
quiet_comp,winner_ratio,10,limit_up_count_ma5,-0.0337,-0.0029,0.0308,1.84,157,163,0.0561,0.0094,True,0.235,False
quiet_comp,winner_ratio,10,blow_rate,-0.0294,0.0169,0.0464,2.79,158,161,0.0336,0.0383,True,0.356,False
quiet_comp,winner_ratio,10,max_board_height,-0.0218,-0.0134,0.0084,0.49,154,149,-0.0073,-0.0005,True,0.063,False
quiet_comp,winner_ratio,10,lu_premium_1d,0.0014,-0.0109,-0.0124,-0.75,162,158,-0.0355,0.0035,False,-0.096,False
quiet_comp,cost_bias,1,limit_up_count,-0.0193,0.0022,0.0215,1.51,161,155,-0.0051,0.0484,False,0.193,False
quiet_comp,cost_bias,1,limit_up_count_ma5,-0.007,-0.0039,0.0031,0.22,161,163,-0.0173,0.0227,False,0.028,False
quiet_comp,cost_bias,1,blow_rate,-0.0082,-0.0064,0.0018,0.13,162,165,0.0217,-0.0155,False,0.017,False
quiet_comp,cost_bias,1,max_board_height,-0.0082,-0.0105,-0.0023,-0.15,156,149,-0.0004,-0.0091,True,-0.019,False
quiet_comp,cost_bias,1,lu_premium_1d,-0.004,-0.009,-0.005,-0.36,164,163,0.0295,-0.0345,False,-0.046,False
quiet_comp,cost_bias,3,limit_up_count,-0.0032,-0.0021,0.0011,0.08,160,154,-0.0122,0.0128,False,0.01,False
quiet_comp,cost_bias,3,limit_up_count_ma5,-0.0021,0.0039,0.006,0.47,161,163,-0.0021,0.0118,False,0.06,False
quiet_comp,cost_bias,3,blow_rate,-0.0102,-0.0075,0.0026,0.2,161,164,0.0073,0.0012,True,0.026,False
quiet_comp,cost_bias,3,max_board_height,-0.0012,0.0053,0.0065,0.47,156,149,0.0315,-0.0159,False,0.06,False
quiet_comp,cost_bias,3,lu_premium_1d,0.0002,-0.0016,-0.0018,-0.14,163,162,0.0245,-0.0239,False,-0.018,False
quiet_comp,cost_bias,5,limit_up_count,-0.0015,-0.0065,-0.0049,-0.36,160,153,-0.0193,0.0063,False,-0.046,False
quiet_comp,cost_bias,5,limit_up_count_ma5,-0.0178,0.0027,0.0204,1.6,159,163,0.0073,0.0303,True,0.204,False
quiet_comp,cost_bias,5,blow_rate,-0.0182,-0.0054,0.0128,0.94,159,164,0.0366,-0.0016,False,0.12,False
quiet_comp,cost_bias,5,max_board_height,-0.0026,-0.011,-0.0083,-0.59,156,149,0.0145,-0.0267,False,-0.075,False
quiet_comp,cost_bias,5,lu_premium_1d,0.0032,-0.0097,-0.0129,-0.97,163,160,0.0029,-0.0245,False,-0.124,False
quiet_comp,cost_bias,10,limit_up_count,-0.0016,-0.0007,0.001,0.07,156,153,0.0039,-0.0079,False,0.009,False
quiet_comp,cost_bias,10,limit_up_count_ma5,-0.0288,0.0076,0.0364,2.71,157,163,0.0462,0.0212,True,0.346,False
quiet_comp,cost_bias,10,blow_rate,-0.0076,-0.0016,0.006,0.43,158,161,0.0223,-0.0007,False,0.055,False
quiet_comp,cost_bias,10,max_board_height,-0.0074,-0.0025,0.005,0.34,154,149,0.0369,-0.0198,False,0.043,False
quiet_comp,cost_bias,10,lu_premium_1d,0.0148,-0.001,-0.0158,-1.13,162,158,-0.0209,-0.0074,True,-0.144,False
quiet_comp,up_days,1,limit_up_count,-0.0718,-0.0486,0.0233,1.26,161,155,0.0305,0.0178,True,0.161,False
quiet_comp,up_days,1,limit_up_count_ma5,-0.0596,-0.0545,0.0052,0.29,161,163,0.0056,0.0065,True,0.037,False
quiet_comp,up_days,1,blow_rate,-0.0397,-0.0505,-0.0107,-0.61,162,165,-0.0496,0.0171,False,-0.078,False
quiet_comp,up_days,1,max_board_height,-0.0342,-0.0664,-0.0322,-1.71,156,149,-0.0222,-0.0416,True,-0.218,False
quiet_comp,up_days,1,lu_premium_1d,-0.0559,-0.0474,0.0084,0.47,164,163,0.0203,-0.0053,False,0.06,False
quiet_comp,up_days,3,limit_up_count,-0.0575,-0.0183,0.0392,2.13,160,154,0.0524,0.0285,True,0.272,False
quiet_comp,up_days,3,limit_up_count_ma5,-0.0406,-0.031,0.0096,0.56,161,163,0.0264,-0.0058,False,0.071,False
quiet_comp,up_days,3,blow_rate,-0.0215,-0.0348,-0.0132,-0.74,161,164,-0.0482,0.0123,False,-0.094,False
quiet_comp,up_days,3,max_board_height,-0.0273,-0.022,0.0053,0.3,156,149,0.0245,-0.0076,False,0.038,False
quiet_comp,up_days,3,lu_premium_1d,-0.0382,-0.0285,0.0097,0.55,163,162,0.0254,-0.0029,False,0.07,False
quiet_comp,up_days,5,limit_up_count,-0.0489,-0.0055,0.0434,2.43,160,153,0.0473,0.0411,True,0.31,False
quiet_comp,up_days,5,limit_up_count_ma5,-0.0357,-0.022,0.0137,0.8,159,163,0.0289,-0.0012,False,0.102,False
quiet_comp,up_days,5,blow_rate,-0.0203,-0.0214,-0.0011,-0.06,159,164,-0.023,0.0134,False,-0.008,False
quiet_comp,up_days,5,max_board_height,-0.0137,-0.0179,-0.0042,-0.24,156,149,0.0063,-0.0126,False,-0.031,False
quiet_comp,up_days,5,lu_premium_1d,-0.0232,-0.0183,0.0048,0.28,163,160,0.0104,0.0024,True,0.036,False
quiet_comp,up_days,10,limit_up_count,-0.0317,-0.0082,0.0235,1.32,156,153,0.0225,0.024,True,0.168,False
quiet_comp,up_days,10,limit_up_count_ma5,-0.0316,-0.026,0.0057,0.32,157,163,0.0255,-0.0162,False,0.041,False
quiet_comp,up_days,10,blow_rate,-0.0283,-0.0117,0.0166,0.94,158,161,-0.0043,0.0325,False,0.12,False
quiet_comp,up_days,10,max_board_height,-0.0168,-0.0166,0.0002,0.01,154,149,0.0128,-0.0113,False,0.001,False
quiet_comp,up_days,10,lu_premium_1d,-0.0346,-0.0153,0.0193,1.09,162,158,0.0197,0.0225,True,0.139,False
next_lu,mom5,1,limit_up_count,0.0142,0.0762,0.062,0.54,53,18,-0.0323,0.1844,False,0.069,False
next_lu,mom5,1,limit_up_count_ma5,0.1758,0.0331,-0.1427,,66,7,-0.3174,-0.0166,True,,False
next_lu,mom5,1,blow_rate,0.1169,-0.0434,-0.1604,-1.95,33,32,-0.2784,-0.0407,True,-0.249,False
next_lu,mom5,1,max_board_height,0.0921,0.0555,-0.0366,-0.44,39,23,-0.2504,0.0416,False,-0.056,False
next_lu,mom5,1,lu_premium_1d,0.005,0.0531,0.0481,0.52,28,26,0.0862,-0.0248,False,0.066,False
next_lu,mom5,3,limit_up_count,0.0147,0.0138,-0.0009,-0.01,53,18,-0.0874,0.1146,False,-0.001,False
next_lu,mom5,3,limit_up_count_ma5,0.0727,-0.0294,-0.1021,,66,7,-0.0975,-0.1324,True,,False
next_lu,mom5,3,blow_rate,0.0203,-0.0411,-0.0613,-0.73,33,32,-0.0653,-0.0763,True,-0.093,False
next_lu,mom5,3,max_board_height,-0.0083,-0.0297,-0.0214,-0.25,39,23,-0.1821,0.0476,False,-0.032,False
next_lu,mom5,3,lu_premium_1d,-0.0245,0.0119,0.0364,0.37,28,26,-0.045,0.1272,False,0.047,False
next_lu,mom5,5,limit_up_count,-0.0131,-0.0047,0.0084,0.09,53,18,-0.1877,0.2979,False,0.011,False
next_lu,mom5,5,limit_up_count_ma5,0.0208,-0.0377,-0.0585,,66,7,-0.0651,-0.0311,True,,False
next_lu,mom5,5,blow_rate,0.009,-0.0555,-0.0645,-0.8,33,32,-0.0721,-0.0226,True,-0.102,False
next_lu,mom5,5,max_board_height,-0.0215,-0.045,-0.0235,-0.27,39,23,-0.1807,0.0833,False,-0.034,False
next_lu,mom5,5,lu_premium_1d,-0.0429,-0.0179,0.0251,0.27,28,26,-0.0884,0.177,False,0.034,False
next_lu,mom5,10,limit_up_count,-0.092,-0.0616,0.0303,0.3,52,18,-0.1479,0.289,False,0.038,False
next_lu,mom5,10,limit_up_count_ma5,0.1723,-0.0818,-0.254,,65,7,-0.3636,-0.1611,True,,False
next_lu,mom5,10,blow_rate,-0.0795,-0.0937,-0.0142,-0.19,33,32,-0.0231,0.0258,False,-0.024,False
next_lu,mom5,10,max_board_height,-0.0196,-0.0936,-0.074,-0.85,39,23,-0.2173,0.0076,False,-0.108,False
next_lu,mom5,10,lu_premium_1d,-0.0696,-0.0868,-0.0172,-0.17,28,25,-0.1516,0.1529,False,-0.022,False
next_lu,mom10,1,limit_up_count,-0.0624,0.0379,0.1004,0.85,53,18,0.0036,0.2325,True,0.108,False
next_lu,mom10,1,limit_up_count_ma5,0.2199,0.0103,-0.2096,,66,7,-0.4403,-0.0234,True,,False
next_lu,mom10,1,blow_rate,0.0171,-0.0324,-0.0495,-0.58,33,32,-0.1363,0.0498,False,-0.074,False
next_lu,mom10,1,max_board_height,0.1049,-0.014,-0.1189,-1.32,39,23,-0.3244,-0.0481,True,-0.168,False
next_lu,mom10,1,lu_premium_1d,0.0527,0.0245,-0.0283,-0.27,28,26,-0.0324,-0.0565,True,-0.034,False
next_lu,mom10,3,limit_up_count,-0.0239,0.0017,0.0257,0.24,53,18,-0.0579,0.144,False,0.031,False
next_lu,mom10,3,limit_up_count_ma5,0.0801,-0.0321,-0.1122,,66,7,-0.1809,-0.0584,True,,False
next_lu,mom10,3,blow_rate,-0.0298,-0.041,-0.0112,-0.13,33,32,-0.0237,-0.012,True,-0.017,False
next_lu,mom10,3,max_board_height,0.0696,-0.0759,-0.1455,-1.65,39,23,-0.269,-0.1537,True,-0.211,False
next_lu,mom10,3,lu_premium_1d,0.01,-0.0161,-0.0262,-0.26,28,26,-0.0868,0.045,False,-0.033,False
next_lu,mom10,5,limit_up_count,0.0153,-0.0294,-0.0447,-0.43,53,18,-0.1668,0.1325,False,-0.055,False
next_lu,mom10,5,limit_up_count_ma5,-0.0368,-0.0428,-0.006,,66,7,-0.0714,0.0534,False,,False
next_lu,mom10,5,blow_rate,-0.0372,-0.0417,-0.0045,-0.05,33,32,-0.0506,0.0706,False,-0.006,False
next_lu,mom10,5,max_board_height,0.0286,-0.0636,-0.0922,-1.0,39,23,-0.092,-0.1978,True,-0.128,False
next_lu,mom10,5,lu_premium_1d,-0.0449,-0.0789,-0.034,-0.32,28,26,-0.1103,0.0595,False,-0.041,False
next_lu,mom10,10,limit_up_count,-0.1132,-0.1259,-0.0127,-0.15,52,18,-0.0935,0.1012,False,-0.019,False
next_lu,mom10,10,limit_up_count_ma5,-0.0195,-0.1236,-0.1042,,65,7,-0.2629,0.0038,False,,False
next_lu,mom10,10,blow_rate,-0.1328,-0.1208,0.012,0.15,33,32,0.0134,0.0296,True,0.019,False
next_lu,mom10,10,max_board_height,-0.0485,-0.1395,-0.0911,-1.08,39,23,0.042,-0.0847,False,-0.138,False
next_lu,mom10,10,lu_premium_1d,-0.124,-0.1715,-0.0475,-0.51,28,25,-0.206,0.1421,False,-0.065,False
next_lu,mom20,1,limit_up_count,-0.0516,0.0224,0.0741,0.59,53,18,-0.09,0.2901,False,0.075,False
next_lu,mom20,1,limit_up_count_ma5,0.155,-0.0404,-0.1954,,66,7,-0.385,-0.0754,True,,False
next_lu,mom20,1,blow_rate,-0.0476,-0.0442,0.0034,0.04,33,32,-0.02,-0.0193,True,0.005,False
next_lu,mom20,1,max_board_height,0.042,-0.0093,-0.0513,-0.54,39,23,-0.2432,-0.0192,True,-0.069,False
next_lu,mom20,1,lu_premium_1d,-0.0155,-0.0051,0.0104,0.1,28,26,0.0666,-0.0906,False,0.013,False
next_lu,mom20,3,limit_up_count,0.0208,-0.0765,-0.0974,-0.87,53,18,-0.2156,0.0671,False,-0.111,False
next_lu,mom20,3,limit_up_count_ma5,0.1017,-0.132,-0.2337,,66,7,-0.4209,-0.1165,True,,False
next_lu,mom20,3,blow_rate,-0.1188,-0.086,0.0327,0.34,33,32,0.0649,-0.047,False,0.043,False
next_lu,mom20,3,max_board_height,-0.0122,-0.1183,-0.1061,-1.1,39,23,-0.192,-0.0967,True,-0.14,False
