scenario,factor,h,regime,ic_lo,ic_hi,dIC,dt,n_hi,n_lo,dIC_h1,dIC_h2,stable,dt_adj_sqrtN,pass_bonf_z
all,mom20,1,lu_premium_1d,-0.0531,-0.0541,-0.001,-0.05,167,167,-0.0166,0.0167,False,-0.006,False
all,mom20,3,limit_up_count,-0.0623,-0.0753,-0.013,-0.64,165,157,-0.0432,0.0185,False,-0.082,False
all,mom20,3,limit_up_count_ma5,-0.062,-0.0838,-0.0219,-1.12,167,165,-0.0475,0.0027,False,-0.143,False
all,mom20,3,blow_rate,-0.0455,-0.0661,-0.0206,-1.04,165,166,-0.0001,-0.0295,True,-0.133,False
all,mom20,3,max_board_height,-0.0423,-0.0812,-0.0389,-2.05,158,152,-0.0443,-0.028,True,-0.262,False
all,mom20,3,lu_premium_1d,-0.0646,-0.0677,-0.0032,-0.17,166,166,-0.0116,0.0118,False,-0.022,False
all,mom20,5,limit_up_count,-0.071,-0.084,-0.013,-0.65,165,156,-0.0389,0.0119,False,-0.083,False
all,mom20,5,limit_up_count_ma5,-0.0642,-0.0855,-0.0214,-1.11,165,165,-0.0279,-0.0172,True,-0.142,False
all,mom20,5,blow_rate,-0.064,-0.0731,-0.0091,-0.47,163,166,0.0233,-0.0289,False,-0.06,False
all,mom20,5,max_board_height,-0.0364,-0.0875,-0.051,-2.75,158,152,-0.0398,-0.0607,True,-0.351,False
all,mom20,5,lu_premium_1d,-0.0684,-0.0719,-0.0035,-0.19,166,164,-0.01,0.0101,False,-0.024,False
all,mom20,10,limit_up_count,-0.0789,-0.0853,-0.0064,-0.33,161,156,-0.0067,-0.0103,True,-0.042,False
all,mom20,10,limit_up_count_ma5,-0.0581,-0.0875,-0.0293,-1.6,163,165,-0.0292,-0.0313,True,-0.204,False
all,mom20,10,blow_rate,-0.0715,-0.0782,-0.0068,-0.37,162,163,0.0107,-0.012,False,-0.047,False
all,mom20,10,max_board_height,-0.0426,-0.0706,-0.0279,-1.55,156,152,0.0183,-0.0683,False,-0.198,False
all,mom20,10,lu_premium_1d,-0.0911,-0.0565,0.0346,2.01,165,162,0.0417,0.0336,True,0.257,False
all,rev5,1,limit_up_count,0.044,0.0331,-0.0109,-0.55,166,158,0.0328,-0.0574,False,-0.07,False
all,rev5,1,limit_up_count_ma5,0.0414,0.0362,-0.0051,-0.27,167,165,0.0316,-0.0421,False,-0.034,False
all,rev5,1,blow_rate,0.0322,0.0373,0.0051,0.28,166,167,-0.0325,0.0256,False,0.036,False
all,rev5,1,max_board_height,0.0155,0.0467,0.0312,1.51,158,152,0.0355,0.0195,True,0.193,False
all,rev5,1,lu_premium_1d,0.0275,0.0439,0.0165,0.84,167,167,-0.0024,0.0306,False,0.107,False
all,rev5,3,limit_up_count,0.0415,0.0406,-0.0009,-0.05,165,157,0.0412,-0.0413,False,-0.006,False
all,rev5,3,limit_up_count_ma5,0.048,0.0536,0.0056,0.33,167,165,0.0611,-0.0518,False,0.042,False
all,rev5,3,blow_rate,0.0135,0.0531,0.0396,2.32,165,166,0.0205,0.0358,True,0.296,False
all,rev5,3,max_board_height,0.0281,0.053,0.0249,1.36,158,152,0.0182,0.0142,True,0.174,False
all,rev5,3,lu_premium_1d,0.0289,0.0456,0.0167,0.98,166,166,0.0103,0.0139,True,0.125,False
all,rev5,5,limit_up_count,0.0421,0.0402,-0.0019,-0.11,165,156,0.051,-0.0557,False,-0.014,False
all,rev5,5,limit_up_count_ma5,0.0562,0.0478,-0.0084,-0.48,165,165,0.0456,-0.065,False,-0.061,False
all,rev5,5,blow_rate,0.0208,0.05,0.0292,1.65,163,166,-0.0092,0.0447,False,0.211,False
all,rev5,5,max_board_height,0.0193,0.0573,0.038,2.16,158,152,0.0401,0.0257,True,0.276,False
all,rev5,5,lu_premium_1d,0.0159,0.0497,0.0338,1.92,166,164,0.0249,0.0333,True,0.245,False
all,rev5,10,limit_up_count,0.0486,0.0511,0.0025,0.14,161,156,0.0293,-0.027,False,0.018,False
all,rev5,10,limit_up_count_ma5,0.0596,0.0508,-0.0088,-0.54,163,165,0.0134,-0.0333,False,-0.069,False
