date,n_stocks,mkt_ret,limit_up_count,touched_count,max_board_height,blow_count,blow_rate,lu_premium_1d,lu_cont_n,limit_up_count_ma5
2024-07-02,4776,-0.0003646150312574322,33,55,5,22,0.4,0.027000413858208422,33,32.2
2024-07-03,4776,-0.00896032962447619,28,55,3,27,0.4909090909090909,0.018723036970686696,33,29.4
2024-07-04,4776,-0.026376668010977974,13,22,3,9,0.4090909090909091,0.00225642999623105,28,27.2
2024-07-05,4776,0.010586691023509271,29,40,4,11,0.275,0.0088636509781684,13,27.2
2024-07-08,4772,-0.02611631976175094,17,33,3,16,0.48484848484848486,0.025659320441568715,29,24.0
2024-07-09,4775,0.018344397712968863,44,61,4,17,0.2786885245901639,0.02718645165528618,17,26.2
2024-07-10,4776,-0.006675619569220937,38,69,3,31,0.4492753623188406,0.03444439716655269,44,28.2
2024-07-11,4777,0.030488137441798967,65,85,4,20,0.23529411764705882,0.006195942504417507,38,38.6
2024-07-12,4778,-0.002714688875748821,32,54,4,22,0.4074074074074074,0.014422288387389437,65,39.2
2024-07-15,4778,-0.014738554579542313,23,38,5,15,0.39473684210526316,0.0134847604947141,32,40.4
2024-07-16,4779,0.0009249386778185278,26,41,6,15,0.36585365853658536,0.007753257124781772,23,36.8
2024-07-17,4777,-0.010992511069436554,21,30,7,9,0.3,0.03209966886852424,25,33.4
2024-07-18,4779,-0.0002926103949546806,32,41,3,9,0.21951219512195122,0.011311903513290216,21,26.8
2024-07-19,4779,0.006475904321906211,36,54,2,18,0.3333333333333333,0.014426895661348669,32,27.6
2024-07-22,4779,0.004476755560004381,34,49,3,15,0.30612244897959184,0.006593382114768654,36,29.8
2024-07-23,4780,-0.020691898576437162,35,53,3,18,0.33962264150943394,0.03570651256487539,34,31.6
2024-07-24,4781,-0.015641180833687582,21,37,3,16,0.43243243243243246,0.0022854611725828602,35,31.6
2024-07-25,4781,0.004966067807607856,38,57,3,19,0.3333333333333333,0.001304423920387406,21,32.8
2024-07-26,4783,0.016245627281802667,52,71,2,19,0.2676056338028169,0.015692382788082177,38,36.0
2024-07-29,4782,0.0007379225890390316,57,75,3,18,0.24,0.04909494598086387,52,40.6
2024-07-30,4784,0.005072108916238839,55,82,4,27,0.32926829268292684,0.02671234627614142,57,44.6
2024-07-31,4785,0.03417758319808063,79,117,4,38,0.3247863247863248,-0.01203915350737388,55,56.2
2024-08-01,4785,0.0006123223117918673,51,77,5,26,0.33766233766233766,0.025172573136786627,79,58.8
2024-08-02,4786,-0.013112924772444587,41,64,6,23,0.359375,0.015285181595001805,51,56.6
2024-08-05,4787,-0.024990542868669804,41,65,5,24,0.36923076923076925,0.02805211425521686,41,53.4
2024-08-06,4788,0.01880425491142272,49,65,6,16,0.24615384615384617,0.009238422402052214,41,52.2
2024-08-07,4788,0.00040029543736008473,48,64,5,16,0.25,0.009394400236928967,49,46.0
2024-08-08,4790,-0.0022796911421061462,34,60,5,26,0.43333333333333335,-0.00898830011941225,48,42.6
2024-08-09,4791,-0.007244938404774561,27,50,4,23,0.46,0.0030301336843484043,34,39.8
2024-08-12,4792,-0.006558504815383961,29,54,3,25,0.46296296296296297,-0.006614942849290323,27,37.4
2024-08-13,4793,0.007019372536389893,31,44,4,13,0.29545454545454547,0.0046231578883127915,29,33.8
2024-08-14,4793,-0.005549559312575618,28,52,4,24,0.46153846153846156,0.05448346924984059,31,29.8
2024-08-15,4794,0.00803120907602906,34,47,3,13,0.2765957446808511,0.014718246714434823,28,29.8
2024-08-16,4794,-0.0045376343286781225,33,50,4,17,0.34,0.016071542780104402,34,31.0
2024-08-19,4794,-0.0038124636050717326,33,49,3,16,0.32653061224489793,0.016084013811795264,33,31.8
2024-08-20,4794,-0.01739875401030031,19,32,4,13,0.40625,-0.0012941971377555574,33,29.4
2024-08-21,4794,-0.0026290732535296656,33,51,5,18,0.35294117647058826,0.04448781074959899,19,30.4
2024-08-22,4795,-0.014926314592268635,23,42,6,19,0.4523809523809524,-0.004128058700925015,33,28.2
2024-08-23,4797,-0.004582945416764431,34,50,7,16,0.32,-0.0038712269667451416,23,28.4
2024-08-26,4797,0.010765249192674874,40,61,8,21,0.3442622950819672,0.024530953780269614,34,29.8
2024-08-27,4797,-0.013569181676366763,31,52,9,21,0.40384615384615385,0.024119845704028572,40,32.2
2024-08-28,4797,0.004545969581675494,34,56,10,22,0.39285714285714285,-0.01809053159813718,31,32.4
2024-08-29,4797,0.014702259503030616,44,58,5,14,0.2413793103448276,0.014071834335188913,34,36.6
2024-08-30,4798,0.01914928056720343,54,106,5,52,0.49056603773584906,0.014489424112687516,44,40.6
2024-09-02,4798,-0.016818773185891867,25,50,6,25,0.5,0.0021459197586353625,54,37.6
2024-09-03,4798,0.009366953292960322,35,54,7,19,0.35185185185185186,0.016408581488857134,25,38.4
2024-09-04,4798,-0.006150891521137673,35,50,8,15,0.3,0.037862148995811626,35,38.6
2024-09-05,4799,0.00892170079333618,46,64,9,18,0.28125,0.0186909178929227,35,39.0
2024-09-06,4801,-0.018413532830050997,29,61,10,32,0.5245901639344263,0.028331661664474775,46,34.0
