scenario,regime,h,spread_HiLo,t,n_hi,n_lo,sp_h1,sp_h2,stable
next_lu,limit_up_count,3,-0.00586,-0.68,134,92,-0.00825,-0.00259,True
next_lu,limit_up_count_ma5,3,-0.01038,-1.16,152,78,-0.03051,0.00274,False
next_lu,blow_rate,3,-0.01275,-1.52,116,116,-0.02272,-0.01335,True
next_lu,max_board_height,3,0.00829,0.99,120,101,-0.00826,0.00969,False
next_lu,lu_premium_1d,3,0.01189,1.3,106,117,0.02113,-0.0003,False
next_lu,limit_up_count,5,-0.0123,-0.99,134,91,-0.02055,-0.00151,True
next_lu,limit_up_count_ma5,5,-0.01766,-1.34,150,78,-0.03849,-0.00538,True
next_lu,blow_rate,5,-0.01747,-1.61,114,116,-0.01698,-0.03479,True
next_lu,max_board_height,5,0.0144,1.27,120,101,-0.01574,0.02044,False
next_lu,lu_premium_1d,5,0.01324,1.09,106,115,0.02632,-0.00376,False
next_lu,limit_up_count,10,-0.02747,-1.56,132,91,-0.03047,-0.02309,True
next_lu,limit_up_count_ma5,10,-0.03884,-2.23,148,78,-0.05902,-0.02893,True
next_lu,blow_rate,10,-0.01906,-1.22,114,115,-0.02002,-0.03648,True
next_lu,max_board_height,10,0.0073,0.47,119,101,-0.04891,0.02858,False
next_lu,lu_premium_1d,10,0.03196,1.92,106,113,0.04893,0.01081,True
streak2,limit_up_count,1,-0.004,-0.75,162,58,-0.0097,0.00252,False
streak2,limit_up_count_ma5,1,-0.00553,-1.14,147,72,-0.00821,-0.00497,True
streak2,blow_rate,1,-0.00268,-0.6,95,138,-0.00121,-0.00906,True
streak2,max_board_height,1,0.00471,1.11,128,95,0.00633,-0.00014,False
streak2,lu_premium_1d,1,0.00279,0.64,119,110,0.00622,-0.00327,False
streak2,limit_up_count,3,-0.01701,-1.46,161,58,-0.03714,0.00552,False
streak2,limit_up_count_ma5,3,-0.01743,-1.72,147,72,-0.03781,-0.00474,True
streak2,blow_rate,3,0.00044,0.05,95,137,-0.00047,-0.01179,True
streak2,max_board_height,3,0.01603,1.86,128,95,-0.00357,0.01499,False
streak2,lu_premium_1d,3,0.01267,1.42,118,110,0.01813,-0.00108,False
streak2,limit_up_count,5,-0.02813,-1.58,161,57,-0.06621,0.01579,False
streak2,limit_up_count_ma5,5,-0.03325,-2.21,145,72,-0.06355,-0.01441,True
streak2,blow_rate,5,-0.00247,-0.19,93,137,0.00552,-0.03319,False
streak2,max_board_height,5,0.01164,1.01,128,95,-0.01491,0.00554,False
streak2,lu_premium_1d,5,0.00417,0.33,118,108,0.01308,-0.01613,False
streak2,limit_up_count,10,-0.04517,-1.83,158,57,-0.09277,0.00915,False
streak2,limit_up_count_ma5,10,-0.05332,-2.57,143,72,-0.09786,-0.02505,True
streak2,blow_rate,10,-0.00947,-0.55,93,135,-0.00287,-0.04705,True
streak2,max_board_height,10,0.00056,0.04,126,95,-0.06566,0.01835,False
