rank,symbol,diff,r5,r5p,pctChg
1,600865,0.5509871947767213,0.6108742004264389,0.059887005649717606,9.97088791848617
2,600108,0.5395994832041342,0.586111111111111,0.04651162790697683,8.14393939393938
3,688655,0.3901256330496363,0.3508604206500956,-0.03926521239954073,3.0258840685380983
4,002988,0.3646986412655887,0.3055198973042361,-0.05917874396135259,1.1269472986410234
5,688001,0.35540618589995254,0.3352799033427307,-0.02012628255722182,8.598100229282668
6,002980,0.3401480683801914,0.3853135313531353,0.04516546297294388,3.3946578400431138
7,688690,0.3299645892351277,0.21246458923512757,-0.11750000000000016,3.3816425120772875
8,000759,0.3276030691089855,0.36612903225806437,0.03852596314907886,10.000000000000009
9,000798,0.32643195723443785,0.34930777422790205,0.022875816993464193,9.982638888888884
10,002403,0.3196015247468462,0.3315450643776823,0.011943539630836053,-9.084249084249086
